brand,website,brightfield_rank,brightfield_funnel_pct,state,abbreviation,method,result,details,policy_url,deliverable,scraped_at
Cookies,https://shop.cookies.co,1,30.6,Ohio,OH,shipping_policy,has_restrictions_other_states,"Restriction language found but Ohio not mentioned: OH, do not ship",https://shop.cookies.co/policies/shipping-policy,no,2026-04-07T10:10:34.485391
Cookies,https://shop.cookies.co,1,30.6,Texas,TX,shipping_policy,has_restrictions_other_states,"Restriction language found but Texas not mentioned: OH, do not ship",https://shop.cookies.co/policies/shipping-policy,no,2026-04-07T10:10:34.485396
Cookies,https://shop.cookies.co,1,30.6,Ohio,OH,cart_checkout,restricted_on_page,Restriction language found on checkout page before entering zip,,no,2026-04-07T10:10:34.485397
Cookies,https://shop.cookies.co,1,30.6,Texas,TX,cart_checkout,restricted_on_page,Restriction language found on checkout page before entering zip,,no,2026-04-07T10:10:34.485399
Cheech and Chong,https://shopcheechandchong.com,2,29.7,Ohio,OH,shipping_policy,no_restriction_found,No restriction language found mentioning Ohio,https://shopcheechandchong.com/pages/faq,likely_yes,2026-04-07T10:10:34.485401
Cheech and Chong,https://shopcheechandchong.com,2,29.7,Texas,TX,shipping_policy,no_restriction_found,No restriction language found mentioning Texas,https://shopcheechandchong.com/pages/faq,likely_yes,2026-04-07T10:10:34.485402
Cheech and Chong,https://shopcheechandchong.com,2,29.7,Ohio,OH,cart_checkout,no_thca_product_found,Could not find a THCA product to add to cart,,likely_yes,2026-04-07T10:10:34.485403
Cheech and Chong,https://shopcheechandchong.com,2,29.7,Texas,TX,cart_checkout,no_thca_product_found,Could not find a THCA product to add to cart,,likely_yes,2026-04-07T10:10:34.485405
iDelta,https://delta8vapeoil.com,4,25.6,Ohio,OH,shipping_policy,has_restrictions_other_states,Restriction language found but Ohio not mentioned: OH,https://delta8vapeoil.com/pages/shipping,likely_yes,2026-04-07T10:10:34.485408
iDelta,https://delta8vapeoil.com,4,25.6,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: OH,https://delta8vapeoil.com/pages/shipping,likely_yes,2026-04-07T10:10:34.485409
iDelta,https://delta8vapeoil.com,4,25.6,Ohio,OH,cart_checkout,could_not_reach_checkout,Could not navigate to checkout page,,likely_yes,2026-04-07T10:10:34.485410
iDelta,https://delta8vapeoil.com,4,25.6,Texas,TX,cart_checkout,could_not_reach_checkout,Could not navigate to checkout page,,likely_yes,2026-04-07T10:10:34.485412
Mood,https://mood.com,6,18.6,Ohio,OH,shipping_policy,has_restrictions_other_states,Restriction language found but Ohio not mentioned: OH,https://mood.com/shipping,yes,2026-04-07T10:10:34.485413
Mood,https://mood.com,6,18.6,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: OH,https://mood.com/shipping,yes,2026-04-07T10:10:34.485415
Mood,https://mood.com,6,18.6,Ohio,OH,cart_checkout,deliverable,Shipping options available (found 'shipping method' on checkout page),,yes,2026-04-07T10:10:34.485416
Mood,https://mood.com,6,18.6,Texas,TX,cart_checkout,deliverable,Shipping options available (found 'shipping method' on checkout page),,yes,2026-04-07T10:10:34.485418
